tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
3.012903225806452,-0.7806451612903226,-6.6,6.683870967741935,18.3,69.1,17.432258064516127,1018.316129032258,2018-12-01,12085182.98,2190181.79,31.72174191482549,1516844.229,1753909.04,31.473837209302324
-0.3806451612903226,-4.935483870967742,-14.9,3.629032258064516,15.0,92.1,20.73225806451613,1016.1322580645161,2019-01-01,12107613.13,2288141.93,29.952030700351774,1428062.66,1555105.99,29.883582089552238
0.7928571428571427,-3.0785714285714287,-12.1,4.871428571428572,18.3,87.6,19.314285714285713,1019.3178571428572,2019-02-01,9991153.06,1875191.81,29.57459283387622,1263379.61,1420571.34,30.130990415335464
3.7935483870967746,-0.264516129032258,-9.3,8.158064516129032,21.1,75.1,19.764516129032256,1018.2900000000001,2019-03-01,12104994.35,2053836.47,30.189372876119865,1282005.26,1370849.05,29.800904977375566
10.363333333333333,6.606666666666667,-1.0,15.266666666666667,25.0,165.8,20.063333333333333,1015.5366666666666,2019-04-01,21694510.43,2602141.9,30.55943049112142,808519.07,1007915.8,31.22769230769231
14.019354838709678,10.283870967741937,6.1,18.429032258064513,31.7,85.1,17.103225806451615,1014.7677419354839,2019-05-01,27911760.91,3563787.77,30.191312679655063,352504.032,549495.64,31.233278955954322
19.866666666666667,15.979999999999999,11.7,24.266666666666666,30.6,130.9,15.71,1012.48,2019-06-01,16384887.25,3220325.28,30.92283509574164,184738.8,300898.52,29.76075731497418
25.70967741935484,21.493548387096773,17.2,30.364516129032257,36.7,147.7,15.019354838709678,1013.5935483870968,2019-07-01,30210366.01,5040340.42,29.503257587795964,164860.9,223709.00999999998,30.352409638554217
23.34193548387097,19.15806451612903,13.9,27.62258064516129,35.0,88.5,15.30967741935484,1014.4548387096773,2019-08-01,33828216.13,5209148.12,30.809516306916652,174945.03,242300.86,30.883333333333333
19.846666666666668,15.536666666666667,10.0,24.44,33.3,55.0,16.356666666666666,1018.8466666666667,2019-09-01,23456035.0,4538969.16,30.630717964253257,694077.8,642174.3,29.729674796747968
